Class;Landscape Proportion;Land cover;Number of Patches;Mean patch area;Median patch area;Fractal Dimension Index
3;0.020128824476650563;25.0;1;25.0;25.0;1.1132827525593785
4;0.5861513687600645;728.0;3;242.66666666666666;25.0;1.3442964397107495
11;0.01932367149758454;24.0;3;8.0;8.0;nan
12;0.07407407407407407;92.0;6;15.333333333333334;12.5;1.2921235082482296
15;0.043478260869565216;54.0;2;27.0;27.0;1.1766864242398727
21;0.06924315619967794;86.0;5;17.2;19.0;nan
24;0.00322061191626409;4.0;1;4.0;4.0;2.0
25;0.09500805152979067;118.0;4;29.5;30.0;1.3979712450971278
33;0.0893719806763285;111.0;4;27.75;15.5;nan
